product_key,product_id,product_number,product_name,category_id,category,subcategory,cost,maintenance,start_date
1,210,FR-R92B-58,HL Road Frame - Black- 58,CO_RF,Components,Road Frames,0,Yes,2003-07-01
2,211,FR-R92R-58,HL Road Frame - Red- 58,CO_RF,Components,Road Frames,0,Yes,2003-07-01
3,214,HL-U509-R,Sport-100 Helmet- Red,AC_HE,Accessories,Helmets,13,Yes,2013-07-01
4,217,HL-U509,Sport-100 Helmet- Black,AC_HE,Accessories,Helmets,13,Yes,2013-07-01
5,218,SO-B909-M,Mountain Bike Socks- M,CL_SO,Clothing,Socks,3,No,2011-07-01
6,219,SO-B909-L,Mountain Bike Socks- L,CL_SO,Clothing,Socks,3,No,2011-07-01
7,222,HL-U509-B,Sport-100 Helmet- Blue,AC_HE,Accessories,Helmets,13,Yes,2013-07-01
8,225,CA-1098,AWC Logo Cap,CL_CA,Clothing,Caps,7,No,2013-07-01
9,228,LJ-0192-S,Long-Sleeve Logo Jersey- S,CL_JE,Clothing,Jerseys,38,No,2013-07-01
10,231,LJ-0192-M,Long-Sleeve Logo Jersey- M,CL_JE,Clothing,Jerseys,38,No,2013-07-01
11,234,LJ-0192-L,Long-Sleeve Logo Jersey- L,CL_JE,Clothing,Jerseys,38,No,2013-07-01
12,237,LJ-0192-X,Long-Sleeve Logo Jersey- XL,CL_JE,Clothing,Jerseys,38,No,2013-07-01
13,240,FR-R92R-62,HL Road Frame - Red- 62,CO_RF,Components,Road Frames,869,Yes,2013-07-01
14,243,FR-R92R-44,HL Road Frame - Red- 44,CO_RF,Components,Road Frames,869,Yes,2013-07-01
15,246,FR-R92R-48,HL Road Frame - Red- 48,CO_RF,Components,Road Frames,869,Yes,2013-07-01
16,249,FR-R92R-52,HL Road Frame - Red- 52,CO_RF,Components,Road Frames,869,Yes,2013-07-01
17,252,FR-R92R-56,HL Road Frame - Red- 56,CO_RF,Components,Road Frames,869,Yes,2013-07-01
18,255,FR-R38B-58,LL Road Frame - Black- 58,CO_RF,Components,Road Frames,205,Yes,2013-07-01
19,258,FR-R38B-60,LL Road Frame - Black- 60,CO_RF,Components,Road Frames,205,Yes,2013-07-01
20,261,FR-R38B-62,LL Road Frame - Black- 62,CO_RF,Components,Road Frames,205,Yes,2013-07-01
21,263,FR-R38R-44,LL Road Frame - Red- 44,CO_RF,Components,Road Frames,187,Yes,2012-07-01
22,265,FR-R38R-48,LL Road Frame - Red- 48,CO_RF,Components,Road Frames,187,Yes,2012-07-01
