order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,qunatity,price
SO43697,45,10769,2010-12-29,2011-01-05,2011-01-10,3578,1,3578
SO43698,69,17390,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43699,69,14864,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43700,63,3502,2010-12-29,2011-01-05,2011-01-10,699,1,699
SO43701,69,4,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43702,46,16646,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43703,45,5625,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43704,74,6,2010-12-30,2011-01-06,2011-01-11,3375,1,3375
SO43705,67,12,2010-12-30,2011-01-06,2011-01-11,3400,1,3400
SO43706,47,16622,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43707,47,16617,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43708,60,9043,2010-12-31,2011-01-07,2011-01-12,699,1,699
SO43709,48,5352,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43710,49,5518,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43711,49,16607,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43712,46,2514,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43713,45,16602,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43714,46,2592,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43715,49,5484,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43716,46,5530,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43717,63,14250,2011-01-02,2011-01-09,2011-01-14,699,1,699
SO43718,46,16669,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43719,47,16613,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43720,46,2265,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43721,45,2591,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43722,47,2582,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43723,61,3521,2011-01-04,2011-01-11,2011-01-16,699,1,699
SO43724,46,5521,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43725,46,2259,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43726,61,3561,2011-01-05,2011-01-12,2011-01-17,699,1,699
SO43727,46,5608,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43728,48,16667,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43729,69,239,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43730,69,14862,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43731,49,5630,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43732,73,26,2011-01-06,2011-01-13,2011-01-18,3375,1,3375
SO43733,47,16578,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43734,47,16605,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43735,45,5523,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43736,69,3,2011-01-07,2011-01-14,2011-01-19,3400,1,3400
SO43737,46,2262,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43738,47,607,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43739,45,2564,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43740,47,5528,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43741,45,16672,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43742,49,2577,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43743,70,8,2011-01-09,2011-01-16,2011-01-21,3400,1,3400
SO43744,48,5632,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43745,46,5515,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43746,47,5617,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43747,49,16624,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43748,48,16626,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43749,49,16637,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43750,46,592,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43751,48,593,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43752,46,2266,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43753,45,5483,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43754,47,16618,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43755,46,16671,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43756,61,8942,2011-01-12,2011-01-19,2011-01-24,699,1,699
SO43757,73,18,2011-01-12,2011-01-19,2011-01-24,3375,1,3375
SO43758,45,16647,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43759,45,2258,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43760,49,5353,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43761,45,5494,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43762,49,16579,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43763,48,5526,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43764,45,5613,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43765,69,11,2011-01-14,2011-01-21,2011-01-26,3400,1,3400
SO43766,48,5519,2011-01-15,2011-01-22,2011-01-27,3578,1,3578
SO43767,73,2,2011-01-15,2011-01-22,2011-01-27,3375,1,3375
SO43768,47,16650,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43769,47,10660,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43770,47,16615,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43771,60,3560,2011-01-16,2011-01-23,2011-01-28,699,1,699
SO43772,47,5525,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43773,49,5527,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43774,48,5349,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43775,70,28,2011-01-16,2011-01-23,2011-01-28,3400,1,3400
SO43776,49,2261,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43777,46,5516,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43778,68,19,2011-01-17,2011-01-24,2011-01-29,3400,1,3400
SO43779,58,14253,2011-01-17,2011-01-24,2011-01-29,699,1,699
SO43780,46,600,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43781,47,5496,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43782,47,5517,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43783,47,5621,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43784,45,16668,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43785,46,602,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43786,46,608,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43787,67,18386,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43788,74,240,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43789,74,14866,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43790,67,14858,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43791,49,5485,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43792,47,5624,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43793,67,1,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43794,70,30,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43795,47,16616,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43796,66,6957,2011-01-20,2011-01-27,2011-02-01,699,1,699
SO43797,47,5346,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43798,45,5522,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43799,47,5637,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43800,46,10711,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43801,46,2584,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43802,47,594,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43803,49,10742,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43804,45,2586,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43805,59,3511,2011-01-22,2011-01-29,2011-02-03,699,1,699
SO43806,47,5524,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43807,47,612,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43808,48,2260,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43809,45,5351,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43810,68,5,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43811,69,27,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43812,47,16663,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43813,73,17391,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43814,73,14867,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43815,46,5495,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43816,49,5497,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43817,45,5520,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43818,47,5529,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43819,69,7,2011-01-24,2011-01-31,2011-02-05,3400,1,3400
SO43820,47,16652,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43821,45,16664,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43822,48,16670,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43823,66,8943,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43824,64,3559,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43825,48,5350,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43826,71,9,2011-01-25,2011-02-01,2011-02-06,3375,1,3375
SO43827,64,14251,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43828,45,16606,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43829,45,16612,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43830,46,5348,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43831,72,29,2011-01-26,2011-02-02,2011-02-07,3375,1,3375
SO43832,45,2585,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43833,45,10728,2011-01-27,2011-02-03,2011-02-08,3578,1,3578
SO43834,71,17394,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43835,71,8803,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43836,57,15621,2011-01-27,2011-02-03,2011-02-08,699,1,699
SO43837,73,10,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43838,48,16642,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43839,46,16674,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43840,58,6958,2011-01-28,2011-02-04,2011-02-09,699,1,699
SO43841,49,2407,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43842,47,5631,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43918,48,11042,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43919,49,1125,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43920,48,17067,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43921,48,5744,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43922,45,2547,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43923,47,17019,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43924,45,1133,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43925,49,5662,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43926,74,56,2011-01-31,2011-02-07,2011-02-12,3375,1,3375
SO43927,49,5663,2011-01-31,2011-02-07,2011-02-12,3578,1,3578
SO43928,48,5741,2011-01-31,2011-02-07,2011-02-12,3578,1,3578
SO43929,56,14271,2011-01-31,2011-02-07,2011-02-12,699,1,699
SO43930,47,17039,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43931,48,2549,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43932,49,5742,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43933,70,32,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO43934,69,35,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO43935,62,9049,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO43936,46,17066,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43937,47,6048,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43938,45,5687,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43939,47,5660,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43940,63,14295,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO43941,49,2601,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43942,45,6052,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43943,64,3566,2011-02-03,2011-02-10,2011-02-15,699,1,699
SO43944,67,55,2011-02-03,2011-02-10,2011-02-15,3400,1,3400
SO43945,45,5676,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43946,48,5688,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43947,45,5713,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43948,68,48,2011-02-03,2011-02-10,2011-02-15,3400,1,3400
SO43949,45,16727,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43950,46,17015,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43951,46,5697,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43952,47,5640,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43953,66,9050,2011-02-05,2011-02-12,2011-02-17,699,1,699
SO43954,46,2603,2011-02-05,2011-02-12,2011-02-17,3578,1,3578
SO43955,49,2662,2011-02-05,2011-02-12,2011-02-17,3578,1,3578
SO43956,67,31,2011-02-05,2011-02-12,2011-02-17,3400,1,3400
